フランク,塩焼きそば,たこ焼き,焼き鳥,ドリンク,クレープ,綿飴,クロッフル,音楽喫茶,紳士喫茶,駅弁,外務,会計,放送,美化,展示
食品-フランク-IPAD張り付き,食品-塩焼きそば-鉄板,食品-たこ焼き-IPAD張り付き係,食品-焼き鳥-焼き,食品-ドリンク-注文,食品-クレープ-受け渡し,食品-綿飴-作成,食品-クロッフル-焼き,食品-音楽喫茶-接客,食品-紳士喫茶-テーブル担当,食品-駅弁-教室搬入,外務-入場受付-第1レーン,会計-ピロティ1,放送-アナウンサー,美化-立ち番-中庭,展示-大賞ペン
食品-フランク-茹で,食品-塩焼きそば-具材投入,食品-たこ焼き-鉄板係,食品-焼き鳥-補充＆トレイ交換,食品-ドリンク-取り出し + 冷やし,食品-クレープ-運び屋,食品-綿飴-作成補助,食品-クロッフル-箱出し,食品-音楽喫茶-厨房,食品-紳士喫茶-食品担当,食品-駅弁-品整理,外務-入場受付-第2レーン,会計-ピロティ2,放送-パーソナリティー,美化-立ち番-エレベーター前,展示-大賞呼びかけ
食品-フランク-焼き,食品-塩焼きそば-キャベツ,食品-たこ焼き-鉄板サポート係,食品-焼き鳥-味付け,食品-ドリンク-受け渡し,食品-クレープ-IPAD,食品-綿飴-受け渡し,食品-クロッフル-シロップ,,,食品-駅弁-レジ補佐,外務-入場受付-第3レーン,会計-ピロティ3,放送-PA,美化-立ち番-高校棟階段前,展示-大賞消毒
食品-フランク-盛り付け,食品-塩焼きそば-パッキング,食品-たこ焼き-盛り付け係,食品-焼き鳥-パック詰め,食品-ドリンク-整列 + 最後尾,食品-クレープ-生地焼き,,食品-クロッフル-輪ゴム,,,食品-駅弁-予約対応,外務-入場受付-第4レーン,会計-ピロティ4,放送-放送受付,美化-立ち番-食券機前,展示-大賞スタンプラリー
食品-フランク-デリバリー,食品-塩焼きそば-トッピング,食品-たこ焼き-パッキング係,食品-焼き鳥-運び屋,食品-ドリンク-拭き,食品-クレープ-生地作り,,食品-クロッフル-受け渡し,,,食品-駅弁-品出し,外務-入場受付-第5レーン,会計-ピロティ5,,美化-立ち番-出口,
食品-フランク-受け渡し,食品-塩焼きそば-箸、輪ゴム,食品-たこ焼き-デリバリー係,食品-焼き鳥-受け渡し,,食品-クレープ-トッピング,,,,,食品-駅弁-入場制限,外務-総合案内所,会計-ピロティ6,,美化-ゴミ袋回収-1階,
,食品-塩焼きそば-デリバリー,食品-たこ焼き-食品受け渡し係,食品-焼き鳥-iPad,,,,,,,,外務-校門前誘導,会計-ドリンク,,美化-ゴミ袋回収-2~4階,
,食品-塩焼きそば-書き込み係,,,,,,,,,,外務-食品システム-販売列先頭,会計-音楽喫茶,,美化-掃除･消毒-1階,
,食品-塩焼きそば-受け渡し係,,,,,,,,,,外務-食品システム-受渡列最後尾,会計-駅弁,,美化-掃除･消毒-2〜4階,
,,,,,,,,,,,外務-食品システム-販売列整理,会計-クロッフル,,美化-掃除-ADE階段,
,,,,,,,,,,,外務-食品システム-受渡列整理,会計-執事喫茶,,美化-掃除-BCF階段,
,,,,,,,,,,,外務-食品システム-TVモニター,会計-綿あめ,,,
,,,,,,,,,,,外務-フロア案内所-2F 中学,会計-宇宙食,,,
,,,,,,,,,,,外務-フロア案内所-2F 高校,,,,
,,,,,,,,,,,外務-フロア案内所-2F 職員室前,,,,
,,,,,,,,,,,外務-フロア案内所-3F 中学,,,,
,,,,,,,,,,,外務-フロア案内所-3F 高校,,,,
,,,,,,,,,,,外務-フロア案内所-4F 中学,,,,
,,,,,,,,,,,外務-フロア案内所-4F 高校,,,,
,,,,,,,,,,,外務-フロア整理-2F 中学,,,,
,,,,,,,,,,,外務-フロア整理-2F 高校,,,,
,,,,,,,,,,,外務-フロア整理-3F 中学,,,,
,,,,,,,,,,,外務-フロア整理-3F 高校,,,,
,,,,,,,,,,,外務-フロア整理-4F 中学,,,,
,,,,,,,,,,,外務-フロア整理-4F 高校,,,,
,,,,,,,,,,,外務-公道整理-クリーニング,,,,
,,,,,,,,,,,外務-公道整理-栄光ゼミ前,,,,
,,,,,,,,,,,外務-公道整理-パーキング,,,,
,,,,,,,,,,,外務-公道整理-消防団前,,,,
,,,,,,,,,,,外務-ピアノ見張り,,,,
,,,,,,,,,,,外務-グラフィナ整理券,,,,
,,,,,,,,,,,外務-食品案内（店舗列）-クロッフル,,,,
,,,,,,,,,,,外務-食品案内（店舗列）-綿飴,,,,
,,,,,,,,,,,外務-食品案内（店舗列）-ドリンク,,,,