,9:30~10:00,10:00~10:30,10:30~11:00,11:00~11:30,11:30~12:00,12:00~12:30,12:30~13:00,13:00~13:30,13:30~14:00,14:00~14:30,14:30~15:00,15:00~15:30,15:30~16:00,department
62001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62009,食品-焼き鳥-補充＆トレイ交換,食品-焼き鳥-受け渡し,0,食品-焼き鳥-味付け,0,0,0,0,食品-焼き鳥-味付け,0,食品-焼き鳥-iPad,0,0,0
62010,0,食品-綿飴-作成補助,0,0,0,0,0,0,0,0,0,0,0,0
62011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62014,0,0,0,0,0,0,0,食品-フランク-茹で,食品-フランク-受け渡し,0,0,食品-フランク-盛り付け,0,0
62015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62020,0,0,0,0,0,外務-フロア整理-3F 中学,0,外務-食品システム-受渡列最後尾,外務-入場受付-第2レーン,外務-フロア案内所-2F 中学,外務-食品システム-販売列整理,0,0,0
62021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62026,0,0,0,食品-綿飴-作成,食品-綿飴-作成補助,食品-綿飴-作成補助,0,0,食品-綿飴-受け渡し,0,0,0,0,0
62027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62028,0,0,0,食品-焼き鳥-受け渡し,0,0,0,0,0,0,0,0,0,0
62029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62030,0,0,食品-綿飴-作成,0,食品-綿飴-作成,0,食品-綿飴-作成補助,0,0,0,0,食品-綿飴-作成,0,0
62031,0,0,0,0,0,0,食品-フランク-茹で,0,0,0,0,0,食品-フランク-受け渡し,0
62032,0,食品-綿飴-作成,0,0,食品-綿飴-作成,0,0,食品-綿飴-作成,0,0,0,0,食品-綿飴-作成,0
62033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62036,0,食品-クレープ-受け渡し,食品-クレープ-受け渡し,0,食品-クレープ-生地焼き,0,0,会計-ピロティ1,食品-クレープ-運び屋,0,0,会計-ピロティ2,食品-クレープ-運び屋,0
62037,0,0,0,会計-ピロティ4,0,会計-音楽喫茶,0,0,会計-ピロティ4,会計-ピロティ1,0,0,0,0
62038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62040,食品-焼き鳥-受け渡し,0,食品-焼き鳥-味付け,食品-焼き鳥-受け渡し,0,0,0,食品-焼き鳥-受け渡し,食品-焼き鳥-パック詰め,食品-焼き鳥-補充＆トレイ交換,0,食品-焼き鳥-焼き,食品-焼き鳥-受け渡し,0
62041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62044,食品-クロッフル-焼き,0,0,0,0,食品-クロッフル-シロップ,0,0,食品-クロッフル-焼き,0,0,0,食品-クロッフル-箱出し,0
62045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62060,0,0,0,0,0,0,0,0,0,食品-綿飴-作成補助,0,食品-綿飴-作成補助,0,0
62061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62069,0,美化-立ち番-中庭,美化-立ち番-食券機前,0,0,0,0,美化-掃除-BCF階段,美化-掃除･消毒-1階,美化-掃除-ADE階段,0,0,0,0
62070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62073,食品-塩焼きそば-鉄板,0,食品-塩焼きそば-パッキング,0,0,0,食品-塩焼きそば-鉄板,0,0,0,食品-塩焼きそば-受け渡し係,0,0,0
62074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62076,0,0,食品-クロッフル-箱出し,0,0,0,0,0,0,0,0,0,0,0
62077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62080,0,0,0,0,0,食品-クレープ-運び屋,外務-総合案内所,外務-入場受付-第4レーン,0,食品-クレープ-生地作り,外務-フロア整理-2F 高校,0,0,0
62081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62082,食品-クレープ-IPAD,食品-クレープ-トッピング,食品-クレープ-受け渡し,0,0,0,食品-クレープ-生地焼き,0,0,0,食品-クレープ-トッピング,会計-綿あめ,0,0
62083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62093,0,0,0,食品-綿飴-作成補助,0,食品-綿飴-作成補助,0,0,食品-綿飴-作成,0,0,0,0,0
62094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62098,外務-校門前誘導,0,0,0,0,0,0,0,外務-フロア整理-2F 中学,食品-焼き鳥-運び屋,0,食品-焼き鳥-焼き,0,0
62099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62103,展示-大賞呼びかけ,0,展示-大賞ペン,放送-PA,0,放送-PA,展示-大賞ペン,0,展示-大賞呼びかけ,0,放送-パーソナリティー,放送-放送受付,0,0
62104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62107,0,0,0,外務-フロア案内所-3F 中学,0,外務-食品システム-販売列整理,0,0,会計-ピロティ5,0,0,0,0,0
62108,食品-フランク-茹で,食品-フランク-盛り付け,0,食品-フランク-デリバリー,0,食品-フランク-IPAD張り付き,食品-フランク-受け渡し,食品-フランク-受け渡し,0,食品-フランク-デリバリー,0,0,食品-フランク-IPAD張り付き,0
62109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62115,0,0,食品-綿飴-作成補助,0,0,食品-たこ焼き-鉄板係,食品-たこ焼き-IPAD張り付き係,食品-綿飴-作成補助,食品-たこ焼き-食品受け渡し係,食品-たこ焼き-パッキング係,0,0,食品-たこ焼き-デリバリー係,0
62116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62123,外務-入場受付-第4レーン,食品-クレープ-運び屋,食品-クレープ-IPAD,食品-クレープ-トッピング,0,0,0,0,食品-クレープ-生地作り,0,食品-クレープ-運び屋,0,食品-クレープ-生地焼き,0
62124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62125,美化-立ち番-エレベーター前,美化-掃除-ADE階段,会計-宇宙食,会計-クロッフル,0,0,美化-立ち番-中庭,会計-執事喫茶,美化-掃除･消毒-1階,美化-立ち番-中庭,美化-掃除･消毒-1階,美化-立ち番-高校棟階段前,会計-クロッフル,0
62126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62127,0,0,0,外務-公道整理-クリーニング,0,0,外務-食品システム-受渡列最後尾,0,0,0,0,外務-フロア案内所-2F 中学,0,0
62128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62130,0,0,0,0,0,0,0,食品-塩焼きそば-キャベツ,食品-塩焼きそば-箸、輪ゴム,0,食品-塩焼きそば-デリバリー,0,0,0
62131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62133,0,外務-フロア案内所-3F 中学,0,0,0,0,0,0,0,0,0,0,0,0
62134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62136,0,0,0,食品-クロッフル-箱出し,0,0,0,食品-クロッフル-箱出し,0,0,0,0,食品-クロッフル-受け渡し,0
62137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62142,0,0,0,0,0,食品-塩焼きそば-デリバリー,食品-塩焼きそば-書き込み係,食品-塩焼きそば-箸、輪ゴム,0,0,0,0,0,0
62143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62144,食品-焼き鳥-iPad,0,0,0,0,0,食品-焼き鳥-焼き,食品-焼き鳥-焼き,0,0,0,食品-焼き鳥-焼き,0,0
62145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62150,0,0,外務-入場受付-第4レーン,0,0,0,0,会計-ドリンク,0,0,会計-ピロティ5,0,会計-駅弁,0
62151,0,食品-クレープ-受け渡し,食品-クレープ-生地作り,食品-クレープ-生地作り,0,0,0,0,0,0,0,食品-クレープ-トッピング,0,0
62152,食品-クレープ-受け渡し,食品-クレープ-トッピング,会計-ドリンク,0,食品-クレープ-生地焼き,0,0,0,0,会計-宇宙食,0,外務-フロア整理-2F 中学,会計-ドリンク,0
62153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62156,0,食品-クレープ-運び屋,食品-クレープ-トッピング,食品-クレープ-生地焼き,食品-クレープ-トッピング,0,0,食品-クレープ-生地作り,食品-クレープ-トッピング,食品-クレープ-生地作り,0,食品-クレープ-生地焼き,食品-クレープ-生地焼き,0
62157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62160,0,0,0,0,0,0,食品-綿飴-作成補助,0,0,0,0,0,0,0
62161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62163,0,0,0,0,0,食品-綿飴-作成,0,0,0,0,食品-綿飴-受け渡し,0,0,0
62164,0,0,0,0,0,0,0,0,0,外務-フロア整理-2F 高校,0,0,0,0
62165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62167,0,展示-大賞消毒,0,0,外務-フロア案内所-4F 高校,0,0,0,0,0,0,0,0,0
62168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62171,0,会計-ピロティ3,会計-宇宙食,会計-執事喫茶,食品-焼き鳥-受け渡し,0,0,0,0,0,0,0,会計-音楽喫茶,0
62172,0,0,0,0,食品-たこ焼き-盛り付け係,0,0,食品-クレープ-トッピング,食品-たこ焼き-IPAD張り付き係,食品-たこ焼き-盛り付け係,食品-たこ焼き-盛り付け係,食品-たこ焼き-デリバリー係,食品-たこ焼き-鉄板係,0
62173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62182,0,放送-アナウンサー,0,食品-フランク-茹で,食品-フランク-盛り付け,0,0,0,0,0,0,0,0,0
62183,0,0,0,会計-ドリンク,0,会計-ピロティ5,0,0,食品-フランク-盛り付け,食品-フランク-茹で,会計-ピロティ2,食品-フランク-受け渡し,0,0
62184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62188,0,0,0,美化-ゴミ袋回収-1階,美化-掃除-ADE階段,0,0,0,美化-掃除･消毒-2〜4階,美化-立ち番-食券機前,0,0,0,0
62189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62190,0,0,0,0,0,0,0,0,会計-綿あめ,会計-ピロティ3,会計-ドリンク,0,0,0
62191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62198,0,0,0,0,食品-塩焼きそば-トッピング,食品-塩焼きそば-具材投入,0,0,0,0,0,0,0,0
62199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62201,0,0,0,0,0,外務-フロア整理-3F 高校,0,0,外務-食品システム-販売列整理,0,0,0,0,0
62202,0,0,0,0,0,放送-パーソナリティー,0,放送-パーソナリティー,0,0,0,0,0,0
62203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62204,食品-クレープ-運び屋,0,0,食品-クレープ-生地焼き,0,0,食品-クレープ-生地作り,0,0,0,食品-クレープ-生地作り,0,食品-クレープ-運び屋,0
62205,0,0,0,0,0,食品-綿飴-作成,0,0,食品-綿飴-作成補助,0,0,0,0,0
62206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62210,食品-クレープ-生地作り,食品-クレープ-生地焼き,0,0,0,0,0,0,食品-クレープ-運び屋,0,0,食品-クレープ-生地焼き,0,0
62211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62218,食品-焼き鳥-パック詰め,食品-焼き鳥-パック詰め,食品-焼き鳥-受け渡し,0,食品-焼き鳥-受け渡し,0,0,0,0,0,0,0,0,0
62219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62221,会計-ピロティ3,0,0,0,0,会計-宇宙食,会計-宇宙食,0,0,0,0,0,会計-ピロティ4,0
62222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62225,外務-公道整理-消防団前,0,0,外務-ピアノ見張り,0,0,0,食品-焼き鳥-補充＆トレイ交換,食品-焼き鳥-iPad,0,0,食品-焼き鳥-補充＆トレイ交換,0,0
62226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62229,0,0,0,0,0,0,食品-クロッフル-シロップ,0,0,0,0,0,0,0
62230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63002,0,0,0,0,0,0,食品-たこ焼き-食品受け渡し係,食品-たこ焼き-食品受け渡し係,食品-たこ焼き-パッキング係,0,0,0,0,0
63003,0,0,0,外務-フロア案内所-2F 高校,0,0,外務-入場受付-第1レーン,0,外務-フロア整理-4F 中学,0,0,0,0,0
63004,0,食品-塩焼きそば-具材投入,食品-フランク-焼き,食品-フランク-受け渡し,食品-フランク-茹で,外務-入場受付-第3レーン,0,0,外務-食品システム-受渡列最後尾,食品-塩焼きそば-トッピング,0,食品-フランク-IPAD張り付き,外務-フロア整理-2F 高校,0
63005,0,食品-焼き鳥-運び屋,0,食品-焼き鳥-焼き,0,食品-焼き鳥-焼き,0,0,0,食品-焼き鳥-味付け,0,0,0,0
63006,0,0,0,会計-ピロティ2,0,0,食品-ドリンク-注文,0,会計-ピロティ1,会計-ピロティ3,会計-クロッフル,食品-ドリンク-拭き,会計-ピロティ4,0
63007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63008,食品-たこ焼き-パッキング係,0,0,食品-たこ焼き-鉄板係,0,0,食品-たこ焼き-パッキング係,0,0,食品-たこ焼き-鉄板サポート係,食品-たこ焼き-鉄板係,食品-たこ焼き-IPAD張り付き係,0,0
