,9:30~10:00,10:00~10:30,10:30~11:00,11:00~11:30,11:30~12:00,12:00~12:30,12:30~13:00,13:00~13:30,13:30~14:00,14:00~14:30,14:30~15:00,15:00~15:30,15:30~16:00,department
63194,会計-ピロティ4,食品-フランク-受け渡し,会計-綿あめ,会計-ピロティ3,0,会計-綿あめ,会計-ドリンク,0,0,0,0,0,0,0
63195,0,0,0,0,会計-ピロティ5,会計-ピロティ6,会計-ピロティ2,会計-ピロティ2,食品-綿飴-作成補助,0,食品-綿飴-作成,食品-綿飴-作成補助,食品-綿飴-作成,0
63196,外務-フロア整理-3F 高校,外務-公道整理-パーキング,美化-掃除･消毒-2〜4階,0,美化-掃除･消毒-1階,美化-ゴミ袋回収-1階,0,美化-掃除-ADE階段,美化-立ち番-高校棟階段前,0,外務-総合案内所,0,美化-掃除･消毒-2〜4階,0
63197,外務-入場受付-第5レーン,0,0,0,外務-フロア整理-3F 高校,食品-たこ焼き-デリバリー係,会計-音楽喫茶,0,会計-駅弁,0,0,0,0,0
63198,0,0,会計-音楽喫茶,0,会計-綿あめ,0,0,会計-執事喫茶,0,会計-クロッフル,会計-ピロティ5,0,会計-ピロティ2,0
63199,外務-フロア案内所-4F 中学,美化-掃除-ADE階段,外務-フロア案内所-3F 高校,0,0,外務-食品案内（店舗列）-ドリンク,0,美化-立ち番-中庭,美化-ゴミ袋回収-1階,0,美化-ゴミ袋回収-2~4階,0,0,0
63200,0,0,放送-アナウンサー,0,0,0,0,0,0,0,0,0,0,0
63201,美化-立ち番-中庭,0,0,0,0,0,美化-掃除･消毒-2〜4階,美化-立ち番-中庭,美化-立ち番-食券機前,0,0,0,0,0
63202,外務-校門前誘導,0,食品-塩焼きそば-書き込み係,0,食品-塩焼きそば-受け渡し係,食品-塩焼きそば-書き込み係,食品-塩焼きそば-パッキング,0,0,食品-塩焼きそば-トッピング,食品-塩焼きそば-パッキング,0,食品-塩焼きそば-パッキング,0
63203,0,会計-駅弁,食品-フランク-茹で,食品-塩焼きそば-パッキング,会計-音楽喫茶,0,食品-クレープ-トッピング,食品-クレープ-トッピング,食品-塩焼きそば-パッキング,食品-クレープ-受け渡し,会計-ピロティ2,会計-駅弁,食品-クレープ-トッピング,0
63204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63206,0,食品-フランク-盛り付け,0,0,0,食品-フランク-盛り付け,0,0,0,0,0,0,0,0
63207,0,0,0,食品-塩焼きそば-トッピング,食品-塩焼きそば-箸、輪ゴム,食品-塩焼きそば-パッキング,0,食品-塩焼きそば-パッキング,0,0,食品-塩焼きそば-書き込み係,0,0,0
63208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63212,0,0,0,0,0,食品-フランク-焼き,食品-フランク-受け渡し,0,食品-フランク-茹で,0,0,0,0,0
63213,0,0,0,外務-食品案内（店舗列）-綿飴,0,0,外務-フロア案内所-4F 高校,外務-フロア案内所-4F 高校,0,0,外務-フロア整理-2F 中学,0,0,0
63214,食品-クレープ-トッピング,0,0,0,食品-クレープ-受け渡し,食品-クレープ-運び屋,0,食品-クレープ-生地焼き,食品-クレープ-生地作り,0,食品-クレープ-生地焼き,食品-クレープ-IPAD,0,0
63215,会計-ピロティ1,0,0,0,0,0,0,0,0,0,会計-ピロティ1,0,0,0
63216,0,0,外務-総合案内所,食品-クレープ-IPAD,0,0,外務-入場受付-第2レーン,食品-クレープ-運び屋,外務-フロア整理-4F 高校,0,0,0,食品-クレープ-IPAD,0
63217,0,美化-立ち番-高校棟階段前,美化-掃除-BCF階段,美化-掃除･消毒-2〜4階,0,美化-掃除-BCF階段,外務-食品システム-販売列整理,0,外務-フロア案内所-4F 高校,美化-掃除-ADE階段,外務-フロア案内所-3F 高校,美化-立ち番-出口,美化-立ち番-中庭,0
63218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63219,0,0,0,0,0,0,0,0,0,0,0,外務-フロア案内所-3F 高校,0,0
63220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63222,0,0,外務-食品システム-受渡列最後尾,0,0,0,食品-クレープ-生地焼き,0,食品-クレープ-生地焼き,0,外務-入場受付-第4レーン,0,0,0
63223,0,0,食品-塩焼きそば-具材投入,食品-塩焼きそば-具材投入,食品-塩焼きそば-パッキング,0,0,0,0,0,0,食品-塩焼きそば-鉄板,0,0
63224,0,0,0,0,食品-フランク-茹で,0,0,0,0,放送-放送受付,0,0,食品-フランク-デリバリー,0
63225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63227,食品-フランク-茹で,0,食品-フランク-デリバリー,0,0,0,0,0,食品-フランク-茹で,放送-パーソナリティー,食品-フランク-盛り付け,0,放送-パーソナリティー,0
63228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63229,食品-たこ焼き-デリバリー係,食品-たこ焼き-デリバリー係,食品-たこ焼き-鉄板係,食品-たこ焼き-パッキング係,0,食品-たこ焼き-デリバリー係,0,0,食品-たこ焼き-デリバリー係,食品-たこ焼き-鉄板係,食品-たこ焼き-パッキング係,食品-たこ焼き-パッキング係,食品-たこ焼き-鉄板係,0
63230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63231,会計-ドリンク,会計-クロッフル,0,0,0,0,0,0,0,会計-綿あめ,0,0,0,0
64001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64005,0,0,0,0,0,0,0,0,0,0,外務-食品案内（店舗列）-ドリンク,0,0,0
64006,0,0,0,0,0,外務-フロア整理-2F 中学,0,0,0,0,外務-総合案内所,0,0,0
64007,食品-クロッフル-シロップ,会計-駅弁,0,会計-音楽喫茶,食品-ドリンク-取り出し + 冷やし,0,会計-音楽喫茶,0,0,会計-ドリンク,食品-クロッフル-受け渡し,食品-ドリンク-注文,0,0
64008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64010,0,0,0,0,0,美化-ゴミ袋回収-2~4階,0,0,0,0,0,美化-掃除-BCF階段,0,0
64011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64012,0,0,0,食品-フランク-茹で,0,0,食品-フランク-焼き,0,0,0,食品-フランク-デリバリー,0,食品-フランク-茹で,0
64013,0,0,食品-塩焼きそば-具材投入,食品-塩焼きそば-鉄板,0,食品-塩焼きそば-パッキング,食品-塩焼きそば-受け渡し係,食品-塩焼きそば-デリバリー,食品-塩焼きそば-トッピング,0,0,0,0,0
64014,食品-クロッフル-受け渡し,0,0,0,食品-クロッフル-焼き,0,0,0,0,0,食品-クロッフル-輪ゴム,食品-クロッフル-輪ゴム,0,0
64015,0,0,0,0,0,0,外務-フロア整理-3F 中学,0,外務-総合案内所,0,0,0,0,0
64016,食品-塩焼きそば-パッキング,食品-塩焼きそば-箸、輪ゴム,0,0,食品-塩焼きそば-キャベツ,0,食品-塩焼きそば-鉄板,食品-塩焼きそば-トッピング,0,0,0,0,0,0
64017,食品-フランク-デリバリー,0,外務-フロア案内所-4F 高校,0,0,食品-フランク-デリバリー,0,0,外務-食品システム-TVモニター,0,0,0,0,0
64018,外務-入場受付-第1レーン,0,0,0,食品-たこ焼き-鉄板係,外務-公道整理-栄光ゼミ前,外務-フロア整理-4F 中学,外務-食品システム-受渡列整理,食品-たこ焼き-盛り付け係,外務-フロア整理-4F 中学,0,食品-たこ焼き-鉄板サポート係,外務-フロア案内所-3F 中学,0
64019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64021,0,外務-総合案内所,0,0,0,外務-総合案内所,外務-入場受付-第4レーン,0,0,外務-食品システム-販売列整理,0,0,0,0
64022,0,0,0,食品-塩焼きそば-具材投入,0,0,0,0,0,0,0,0,0,0
64023,外務-フロア整理-2F 高校,0,0,0,美化-ゴミ袋回収-2~4階,0,美化-掃除･消毒-1階,0,美化-立ち番-エレベーター前,0,0,0,0,0
64024,0,食品-塩焼きそば-トッピング,0,0,0,食品-塩焼きそば-受け渡し係,0,0,食品-塩焼きそば-受け渡し係,食品-塩焼きそば-鉄板,0,0,0,0
64025,0,0,食品-焼き鳥-焼き,食品-焼き鳥-焼き,0,食品-焼き鳥-味付け,0,食品-焼き鳥-iPad,食品-焼き鳥-補充＆トレイ交換,食品-焼き鳥-焼き,0,0,0,0
64026,0,0,0,食品-フランク-焼き,0,0,0,食品-フランク-茹で,食品-フランク-デリバリー,0,0,0,食品-フランク-焼き,0
64027,外務-公道整理-パーキング,0,食品-フランク-盛り付け,食品-クレープ-トッピング,外務-公道整理-パーキング,0,外務-公道整理-栄光ゼミ前,食品-フランク-焼き,食品-クレープ-受け渡し,食品-クレープ-IPAD,食品-フランク-焼き,食品-クレープ-受け渡し,0,0
64028,外務-総合案内所,0,0,0,0,0,外務-食品システム-TVモニター,0,0,0,0,0,0,0
64029,食品-たこ焼き-パッキング係,0,0,0,食品-たこ焼き-食品受け渡し係,0,食品-たこ焼き-デリバリー係,食品-たこ焼き-盛り付け係,食品-たこ焼き-食品受け渡し係,0,0,0,0,0
64030,食品-クレープ-トッピング,0,食品-クレープ-トッピング,食品-クレープ-運び屋,0,0,外務-公道整理-クリーニング,食品-クレープ-受け渡し,0,食品-クレープ-生地焼き,0,0,0,0
64031,0,0,0,0,0,0,0,0,0,会計-ピロティ6,会計-執事喫茶,0,0,0
64032,0,0,0,0,0,0,0,外務-食品システム-販売列整理,0,0,外務-食品システム-TVモニター,外務-フロア整理-3F 中学,0,0
64033,0,食品-クロッフル-箱出し,0,0,0,0,0,外務-フロア整理-2F 高校,食品-クロッフル-箱出し,外務-総合案内所,外務-フロア整理-4F 高校,食品-クロッフル-輪ゴム,0,0
64034,0,0,外務-入場受付-第5レーン,0,0,外務-公道整理-パーキング,外務-フロア整理-2F 中学,0,0,0,0,外務-フロア案内所-2F 高校,0,0
64035,0,展示-大賞呼びかけ,0,0,0,0,0,0,展示-大賞ペン,展示-大賞呼びかけ,展示-大賞消毒,0,展示-大賞呼びかけ,0
64036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64037,食品-塩焼きそば-トッピング,外務-食品システム-受渡列最後尾,0,食品-塩焼きそば-受け渡し係,外務-食品システム-販売列整理,0,0,外務-公道整理-消防団前,食品-塩焼きそば-具材投入,0,0,食品-塩焼きそば-受け渡し係,0,0
64038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64039,食品-塩焼きそば-具材投入,0,0,0,0,0,0,0,0,食品-塩焼きそば-具材投入,食品-塩焼きそば-トッピング,0,0,0
64040,0,0,美化-掃除･消毒-2〜4階,0,0,美化-立ち番-中庭,0,0,0,0,0,0,0,0
64041,0,0,0,外務-食品システム-受渡列最後尾,0,0,会計-宇宙食,0,0,0,会計-綿あめ,0,0,0
64042,会計-クロッフル,0,会計-ピロティ3,会計-ピロティ2,0,0,0,会計-宇宙食,0,外務-ピアノ見張り,会計-駅弁,0,0,0
64043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64044,0,0,0,食品-焼き鳥-焼き,0,0,食品-焼き鳥-パック詰め,0,0,食品-焼き鳥-焼き,食品-焼き鳥-運び屋,0,0,0
64045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64046,0,会計-音楽喫茶,会計-ピロティ6,0,0,0,0,0,0,0,0,0,0,0
64047,0,0,0,0,0,0,0,食品-フランク-受け渡し,0,食品-フランク-受け渡し,外務-食品システム-TVモニター,0,外務-フロア案内所-2F 高校,0
64048,0,0,0,会計-駅弁,0,0,外務-フロア案内所-4F 中学,会計-クロッフル,0,0,0,会計-ピロティ1,0,0
64049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64050,食品-塩焼きそば-具材投入,0,食品-塩焼きそば-鉄板,0,0,食品-塩焼きそば-トッピング,0,外務-食品システム-販売列先頭,0,0,食品-塩焼きそば-箸、輪ゴム,0,食品-塩焼きそば-トッピング,0
64051,0,0,0,0,0,食品-フランク-茹で,0,0,0,0,外務-食品案内（店舗列）-クロッフル,0,外務-公道整理-パーキング,0
64052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64054,0,0,会計-執事喫茶,0,0,0,0,0,会計-ピロティ4,0,0,0,会計-ピロティ6,0
64055,0,0,0,0,外務-食品システム-受渡列最後尾,0,外務-フロア案内所-2F 高校,食品-塩焼きそば-パッキング,食品-塩焼きそば-書き込み係,0,0,0,食品-塩焼きそば-具材投入,0
64056,外務-公道整理-栄光ゼミ前,0,外務-食品システム-販売列先頭,外務-フロア整理-2F 中学,0,0,0,0,0,外務-食品システム-TVモニター,0,外務-フロア案内所-4F 中学,0,0
64057,0,0,食品-フランク-受け渡し,0,外務-食品案内（店舗列）-綿飴,食品-フランク-盛り付け,0,0,0,0,0,0,0,0
64058,食品-クロッフル-シロップ,0,食品-クレープ-生地作り,外務-入場受付-第2レーン,食品-クレープ-生地作り,食品-クロッフル-シロップ,食品-クロッフル-焼き,食品-クロッフル-シロップ,食品-クロッフル-箱出し,外務-食品システム-TVモニター,0,食品-クロッフル-箱出し,食品-クロッフル-シロップ,0
64059,0,0,展示-大賞スタンプラリー,0,展示-大賞ペン,展示-大賞消毒,展示-大賞呼びかけ,展示-大賞呼びかけ,展示-大賞呼びかけ,0,0,展示-大賞ペン,展示-大賞呼びかけ,0
64060,0,0,0,0,0,0,0,0,0,0,0,0,外務-フロア案内所-2F 職員室前,0
64061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64062,0,0,0,外務-食品システム-販売列整理,0,0,外務-フロア整理-3F 高校,0,0,0,0,0,0,0
64063,外務-フロア案内所-3F 高校,0,0,0,外務-ピアノ見張り,外務-入場受付-第4レーン,0,外務-食品システム-TVモニター,0,0,外務-食品システム-受渡列最後尾,会計-執事喫茶,0,0
64064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64066,会計-音楽喫茶,食品-たこ焼き-デリバリー係,食品-たこ焼き-盛り付け係,会計-ピロティ3,食品-たこ焼き-パッキング係,会計-ピロティ1,食品-たこ焼き-鉄板係,食品-たこ焼き-IPAD張り付き係,0,食品-たこ焼き-デリバリー係,食品-たこ焼き-食品受け渡し係,会計-ピロティ4,会計-ピロティ3,0
64067,外務-入場受付-第4レーン,外務-フロア整理-3F 高校,0,0,0,0,0,0,0,0,0,0,0,0
64068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64072,0,0,0,0,0,0,0,0,外務-食品案内（店舗列）-クロッフル,0,0,0,0,0
64073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64074,0,0,0,0,0,0,0,0,0,放送-PA,0,0,0,0
64075,外務-入場受付-第2レーン,外務-公道整理-消防団前,外務-総合案内所,0,0,外務-食品案内（店舗列）-クロッフル,0,0,0,0,0,0,会計-ピロティ1,0
64076,0,食品-たこ焼き-パッキング係,0,0,外務-フロア整理-4F 高校,外務-フロア整理-2F 高校,0,食品-たこ焼き-鉄板サポート係,0,0,0,食品-たこ焼き-鉄板係,0,0
64077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64078,食品-ドリンク-注文,食品-ドリンク-受け渡し,0,食品-ドリンク-注文,0,0,0,食品-ドリンク-取り出し + 冷やし,外務-入場受付-第3レーン,食品-ドリンク-取り出し + 冷やし,食品-ドリンク-拭き,0,食品-ドリンク-整列 + 最後尾,0
64079,食品-たこ焼き-盛り付け係,食品-たこ焼き-盛り付け係,食品-たこ焼き-鉄板サポート係,0,0,0,食品-たこ焼き-デリバリー係,0,0,0,食品-たこ焼き-鉄板サポート係,食品-たこ焼き-食品受け渡し係,0,0
64080,食品-たこ焼き-食品受け渡し係,0,0,食品-たこ焼き-食品受け渡し係,0,0,0,0,食品-たこ焼き-盛り付け係,0,0,0,0,0
64081,外務-フロア整理-4F 中学,0,食品-焼き鳥-焼き,食品-焼き鳥-パック詰め,食品-ドリンク-拭き,食品-ドリンク-取り出し + 冷やし,0,0,外務-フロア案内所-2F 職員室前,食品-ドリンク-拭き,食品-焼き鳥-受け渡し,0,0,0
64082,0,0,食品-焼き鳥-補充＆トレイ交換,0,食品-焼き鳥-補充＆トレイ交換,食品-焼き鳥-パック詰め,食品-焼き鳥-受け渡し,食品-焼き鳥-受け渡し,食品-焼き鳥-受け渡し,食品-焼き鳥-受け渡し,0,0,食品-焼き鳥-受け渡し,0
64083,0,0,0,会計-ピロティ5,0,0,会計-ピロティ5,0,0,0,会計-ピロティ4,0,0,0
64084,0,0,食品-塩焼きそば-キャベツ,0,0,0,0,0,食品-塩焼きそば-デリバリー,0,食品-塩焼きそば-受け渡し係,0,0,0
64085,会計-宇宙食,0,0,0,会計-執事喫茶,0,会計-クロッフル,0,0,0,0,会計-音楽喫茶,0,0
64086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64088,0,外務-入場受付-第1レーン,外務-食品案内（店舗列）-クロッフル,0,0,0,0,外務-フロア整理-4F 高校,外務-入場受付-第1レーン,外務-公道整理-クリーニング,外務-入場受付-第3レーン,0,0,0
64089,0,0,食品-塩焼きそば-トッピング,0,0,食品-塩焼きそば-鉄板,0,0,0,0,0,食品-塩焼きそば-デリバリー,0,0
64090,外務-フロア案内所-2F 中学,0,外務-食品システム-販売列整理,0,0,0,0,0,0,0,0,0,0,0
64091,会計-駅弁,会計-ピロティ4,0,0,0,会計-ピロティ4,会計-ピロティ6,0,0,0,0,会計-ピロティ6,0,0
64092,0,0,外務-公道整理-クリーニング,0,外務-入場受付-第3レーン,0,0,外務-総合案内所,0,外務-食品案内（店舗列）-綿飴,0,0,0,0
64093,0,0,0,放送-放送受付,放送-アナウンサー,0,0,0,0,会計-宇宙食,0,0,0,0
64094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64095,美化-ゴミ袋回収-1階,会計-綿あめ,0,0,会計-クロッフル,0,美化-立ち番-エレベーター前,美化-立ち番-出口,会計-ピロティ3,美化-立ち番-中庭,0,0,会計-執事喫茶,0
64096,外務-入場受付-第1レーン,0,0,0,0,0,外務-入場受付-第5レーン,0,0,0,0,0,0,0
64097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64098,0,0,0,0,0,美化-立ち番-中庭,0,食品-焼き鳥-焼き,食品-焼き鳥-補充＆トレイ交換,0,0,0,0,0
64099,0,0,会計-ピロティ4,0,0,0,0,会計-ピロティ4,0,0,0,会計-ピロティ3,会計-ピロティ1,0
64100,0,0,0,0,食品-フランク-受け渡し,0,0,食品-ドリンク-受け渡し,食品-フランク-盛り付け,0,0,食品-フランク-デリバリー,0,0
64101,0,0,0,0,0,0,0,0,食品-ドリンク-受け渡し,0,食品-ドリンク-取り出し + 冷やし,0,0,0
64102,0,食品-ドリンク-注文,食品-ドリンク-拭き,食品-ドリンク-拭き,食品-ドリンク-取り出し + 冷やし,食品-ドリンク-受け渡し,0,0,0,食品-ドリンク-受け渡し,0,0,0,0
64103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64106,外務-食品案内（店舗列）-綿飴,0,0,外務-食品システム-受渡列整理,食品-フランク-盛り付け,0,0,外務-入場受付-第5レーン,0,0,食品-フランク-受け渡し,0,0,0
64107,0,0,0,0,0,0,0,0,外務-フロア整理-3F 高校,外務-食品案内（店舗列）-ドリンク,0,0,0,0
64108,0,0,0,0,外務-食品案内（店舗列）-クロッフル,0,0,0,0,0,0,0,0,0
64109,0,0,0,0,0,食品-綿飴-受け渡し,0,0,0,0,0,0,0,0
64110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64112,0,0,食品-塩焼きそば-パッキング,0,0,0,食品-塩焼きそば-キャベツ,食品-塩焼きそば-キャベツ,0,0,0,食品-塩焼きそば-鉄板,食品-塩焼きそば-鉄板,0
64113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64115,外務-フロア案内所-4F 高校,外務-食品案内（店舗列）-クロッフル,0,0,外務-フロア整理-3F 中学,0,0,0,0,0,0,0,外務-フロア整理-3F 高校,0
64116,0,会計-ピロティ3,0,0,食品-クレープ-運び屋,0,0,会計-ピロティ5,0,0,0,0,会計-音楽喫茶,0
64117,0,0,0,0,放送-パーソナリティー,0,0,0,0,0,0,0,0,0
64118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64119,0,0,0,0,0,0,0,外務-入場受付-第2レーン,0,外務-食品システム-販売列先頭,0,0,0,0
64120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64121,0,外務-フロア案内所-2F 職員室前,外務-フロア整理-3F 高校,美化-掃除･消毒-1階,会計-ピロティ2,0,0,0,0,外務-食品システム-販売列整理,外務-公道整理-パーキング,外務-フロア案内所-3F 中学,会計-綿あめ,0
64122,0,0,0,展示-大賞ペン,0,0,展示-大賞消毒,展示-大賞呼びかけ,0,展示-大賞ペン,展示-大賞ペン,展示-大賞スタンプラリー,0,0
64123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64124,0,0,食品-たこ焼き-鉄板サポート係,0,0,0,食品-たこ焼き-鉄板係,0,0,0,食品-たこ焼き-盛り付け係,食品-たこ焼き-盛り付け係,0,0
64125,0,外務-食品システム-TVモニター,0,0,0,会計-クロッフル,0,0,0,会計-ピロティ5,0,0,0,0
64126,外務-入場受付-第3レーン,0,0,0,外務-食品システム-受渡列最後尾,0,食品-たこ焼き-盛り付け係,0,0,0,0,0,0,0
